"","purity"
"TCGA-EW-A1PD-01A",0.611938095892547
"TCGA-A1-A0SI-01A",0.615262124247316
"TCGA-BH-A0H6-01A",0.761641148758213
"TCGA-D8-A1X5-01A",0.681007147960586
"TCGA-EW-A6S9-01A",0.689418657553817
"TCGA-E2-A1IF-01A",0.510288065480564
"TCGA-BH-A1EN-01A",0.778373038014371
"TCGA-E9-A247-01A",0.788730122652088
"TCGA-LL-A5YL-01A",0.610828806744549
"TCGA-E2-A1BD-01A",0.790549025044424
"TCGA-D8-A1JK-01A",0.620498512356929
"TCGA-S3-AA14-01A",0.599651807240683
"TCGA-BH-A0DS-01A",0.714112346202922
"TCGA-AQ-A54O-01A",0.691972207651826
"TCGA-D8-A1JP-01A",0.668780723641065
"TCGA-EW-A1PB-01A",0.52177117039218
"TCGA-S3-AA12-01A",0.890046817965704
"TCGA-AO-A12B-01A",0.837715784353419
"TCGA-D8-A1X7-01A",0.746978615015218
"TCGA-AO-A0JD-01A",0.64123773697305
"TCGA-C8-A1HG-01A",0.640616177095835
"TCGA-E9-A22E-01A",0.574004409431887
"TCGA-E2-A105-01A",0.829529781863217
"TCGA-BH-A0E2-01A",0.762902673423211
"TCGA-AC-A23E-01A",0.595224976181115
"TCGA-AN-A0XO-01A",0.708186155138615
"TCGA-A7-A425-01A",0.641464023131165
"TCGA-EW-A423-01A",0.78193475065568
"TCGA-EW-A1IX-01A",0.574183164383144
"TCGA-GM-A3NY-01A",0.750915067731498
"TCGA-AR-A0U0-01A",0.596489831602567
"TCGA-AR-A24P-01A",0.648643207119385
"TCGA-E2-A1II-01A",0.556509263058187
"TCGA-E9-A5UP-01A",0.820812363886044
"TCGA-OL-A5RU-01A",0.524775738368861
"TCGA-D8-A73X-01A",0.74949045213992
"TCGA-B6-A1KN-01A",0.690910154980967
"TCGA-EW-A1PH-01A",0.823235933994191
"TCGA-A1-A0SG-01A",0.649501807909705
"TCGA-D8-A1XR-01A",0.818437071778687
"TCGA-BH-A1FE-01A",0.494841597149274
"TCGA-AO-A0JF-01A",0.536727394273063
